City_ID,City,Country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Songea,TZ,-10.6833,35.65,58.17,86,2,2.59,clear sky
80,Hilo,US,19.7297,-155.09,86.29,73,0,5.75,clear sky
81,Andenes,NO,69.3143,16.1194,40.93,87,78,10.36,broken clouds
82,Neepawa,CA,50.2289,-99.4664,48.6,78,100,5.84,overcast clouds
83,Jaisalmer,IN,26.9147,70.9181,83.84,46,0,17.22,clear sky
84,Port Lincoln,AU,-34.7333,135.8667,66.76,57,100,7.43,overcast clouds
85,Vaini,TO,-21.2,-175.2,78.96,78,40,8.05,scattered clouds
86,Usinsk,RU,65.9939,57.5281,38.52,97,100,14.2,overcast clouds
87,Wajir,KE,1.7471,40.0573,73.36,60,0,5.75,clear sky
88,Busselton,AU,-33.65,115.3333,61.86,53,95,12.3,overcast clouds
89,Saint Anthony,US,45.0205,-93.218,60.58,76,40,9.22,scattered clouds
90,College,US,64.8569,-147.8028,46.38,76,75,0.0,broken clouds
91,Ancud,CL,-41.8697,-73.8203,44.42,69,100,5.01,overcast clouds
92,Pangody,RU,65.85,74.4859,32.5,61,100,15.41,overcast clouds
93,Port Alfred,ZA,-33.5906,26.891,60.84,84,68,4.65,broken clouds
94,Balaipungut,ID,1.05,101.2833,77.04,93,100,3.29,overcast clouds
95,Camabatela,AO,-8.1881,15.375,63.21,96,99,4.76,light rain
96,Geraldton,AU,-28.7667,114.6,75.61,46,6,11.5,clear sky
97,Marawi,PH,7.9986,124.2928,83.07,61,97,3.78,overcast clouds
98,Teya,RU,60.3778,92.6267,32.04,66,100,7.11,overcast clouds
99,Kristiansund,NO,63.1115,7.732,50.65,93,75,4.61,broken clouds
100,Jumla,NP,29.2747,82.1838,66.29,63,56,2.71,broken clouds
101,Margate,GB,51.3813,1.3862,56.88,88,100,1.99,overcast clouds
102,Dicabisagan,PH,17.0818,122.4157,81.23,83,100,5.77,overcast clouds
103,Clifton,US,40.8584,-74.1638,60.84,77,100,8.05,overcast clouds
104,Mount Gambier,AU,-37.8333,140.7667,65.48,58,100,8.95,overcast clouds
105,Gilbues,BR,-9.8317,-45.3439,77.52,38,7,5.37,clear sky
106,Maryville,US,35.7565,-83.9705,59.02,86,100,3.44,overcast clouds
107,Xam Nua,LA,20.4197,104.0439,69.44,99,100,1.39,overcast clouds
