City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Oriximina,BR,2022-10-01 16:55:11,-1.7656,-55.8661,99.5,32,90,6.93
68,Hermanus,ZA,2022-10-01 16:54:14,-34.4187,19.2345,63.81,72,100,9.1
69,Roma,US,2022-10-01 16:55:11,43.2128,-75.4557,64.63,61,100,3.0
70,Albany,US,2022-10-01 16:55:11,42.6001,-73.9662,61.25,65,100,3.65
71,Suez,EG,2022-10-01 16:55:12,29.9737,32.5263,82.22,47,0,11.68
72,Neryungri,RU,2022-10-01 16:55:12,56.6709,124.6491,31.95,93,100,7.85
73,Esperance,AU,2022-10-01 16:55:12,-33.8667,121.9,56.03,76,100,14.03
74,Tuktoyaktuk,CA,2022-10-01 16:55:13,69.4541,-133.0374,32.0,93,100,10.36
75,Fukue,JP,2022-10-01 16:55:13,32.6881,128.8419,73.2,64,4,2.44
76,Clyde River,CA,2022-10-01 16:55:13,70.4692,-68.5914,32.23,69,75,16.11
77,Virginia Beach,US,2022-10-01 16:54:59,36.8529,-75.978,77.02,74,75,10.36
78,Leningradskiy,RU,2022-10-01 16:55:14,69.3833,178.4167,26.6,82,100,8.88
79,Eureka,US,2022-10-01 16:55:14,40.8021,-124.1637,69.15,45,80,4.12
80,Richards Bay,ZA,2022-10-01 16:55:15,-28.783,32.0377,70.3,82,99,14.32
81,Riyadh,SA,2022-10-01 16:50:39,24.6877,46.7219,89.74,12,0,8.99
82,Atuona,PF,2022-10-01 16:52:06,-9.8,-139.0333,76.03,75,52,15.73
83,Manoel Urbano,BR,2022-10-01 16:55:15,-8.8389,-69.2597,97.61,29,28,3.96
84,Kathu,TH,2022-10-01 16:55:16,7.9178,98.3332,85.75,84,100,12.17
85,Port Hardy,CA,2022-10-01 16:51:01,50.6996,-127.4199,48.38,100,75,0.0
86,Grindavik,IS,2022-10-01 16:55:16,63.8424,-22.4338,48.67,87,75,23.02
87,Waipawa,NZ,2022-10-01 16:55:16,-41.4122,175.5153,47.16,96,100,13.96
88,Hambantota,LK,2022-10-01 16:55:17,6.1241,81.1185,79.75,80,100,16.37
89,Hirara,JP,2022-10-01 16:55:17,24.8,125.2833,81.54,75,2,10.45
90,Thompson,CA,2022-10-01 16:55:17,55.7435,-97.8558,42.96,61,20,5.75
91,Omboue,GA,2022-10-01 16:55:18,-1.5746,9.2618,74.3,93,100,8.66
92,Imbituba,BR,2022-10-01 16:56:18,-28.24,-48.6703,69.42,69,28,4.85
93,Batemans Bay,AU,2022-10-01 16:56:19,-35.7167,150.1833,49.53,90,95,2.75
94,Springfield,US,2022-10-01 16:53:04,37.2153,-93.2982,72.21,42,77,3.0
95,Mecca,SA,2022-10-01 16:51:55,21.4267,39.8261,85.95,51,0,4.36
96,Fort Saint James,CA,2022-10-01 16:56:20,54.4333,-124.25,57.06,56,83,4.52
97,Bereda,ES,2022-10-01 16:56:20,43.2686,-7.5406,72.14,71,67,4.09
98,Kawalu,ID,2022-10-01 16:56:20,-7.3817,108.2082,73.22,98,99,1.3
99,Svetlyy,RU,2022-10-01 16:56:21,54.675,20.1347,52.97,67,100,9.64
100,Urengoy,RU,2022-10-01 16:56:21,65.9667,78.3667,28.26,70,69,9.24
101,Miandrivazo,MG,2022-10-01 16:56:22,-19.5167,45.4667,78.76,55,0,8.39
102,Necochea,AR,2022-10-01 16:56:22,-38.5473,-58.7368,71.1,40,60,6.91
103,Cabo San Lucas,MX,2022-10-01 16:53:56,22.8909,-109.9124,90.61,64,8,1.01
104,Camabatela,AO,2022-10-01 16:56:23,-8.1881,15.375,63.09,94,89,2.3
105,Suntar,RU,2022-10-01 16:56:23,62.1444,117.6319,24.89,85,73,3.67
106,Port Alfred,ZA,2022-10-01 16:56:24,-33.5906,26.891,60.19,88,82,6.38
107,Punta De Bombon,PE,2022-10-01 16:56:24,-17.1717,-71.7931,64.2,71,35,10.54
108,Mount Gambier,AU,2022-10-01 16:56:24,-37.8333,140.7667,47.14,96,5,4.63
109,Hami,CN,2022-10-01 16:56:24,42.8,93.45,47.19,19,100,14.85
110,Itarema,BR,2022-10-01 16:56:25,-2.9248,-39.9167,86.52,54,24,19.51
111,Hithadhoo,MV,2022-10-01 16:56:25,-0.6,73.0833,81.73,72,96,13.0
112,Tuatapere,NZ,2022-10-01 16:56:26,-46.1333,167.6833,34.07,94,23,4.12
113,Bartica,GY,2022-10-01 16:56:27,6.4,-58.6167,91.72,36,49,3.74
114,Xuddur,SO,2022-10-01 16:56:27,4.1213,43.8894,84.72,36,88,12.84
